제목,내용1,내용2,내용3,게시일자
🛠️ 4월 5일 서버 점검 예정입니다.,서버 점검 시간은 오전 2시부터 4시까지입니다.,해당 시간 동안 일부 서비스 이용이 제한됩니다.,점검 후 시스템 안정화 확인 예정입니다.,2025-04-02
✅ 1분기 판매 보고서 제출 마감: 4월 7일,보고서 제출 마감일은 4월 7일(일)입니다.,지연 제출 시 불이익이 있을 수 있습니다.,보고서는 지정 양식을 사용할 것.,2025-04-01
📈 이번 주 최우수 딜러는 홍길동 딜러입니다!,3월 마지막 주 기준 판매 1위 달성.,우수 고객 응대 평가도 최상위권입니다.,전사 포상 예정.,2025-04-02
📌 4월 목표는 총 150건 달성입니다. 함께 힘냅시다!,1분기 실적 기준 달성률은 85%입니다.,팀 단위 목표 공유 및 독려 부탁드립니다.,상세 현황은 인트라넷 참고.,2025-04-03
📢 4월 신규 프로모션 안내,4월 10일부터 신규 고객 대상 특별 할인 진행.,상세 내용은 영업본부 공지 참조.,각 지점별 적용 조건 상이.,2025-04-09
🔧 내부 시스템 업데이트 예정,시스템 점검은 4월 8일 23시부터 2시간 예정.,점검 시간 중 접속 지연 가능.,불편을 최소화하겠습니다.,2025-04-08
🏆 3월 고객만족도 우수팀 발표,3월 기준 고객만족도 평가 1위는 동부지점.,팀원 전체 우수활동 포상 예정.,사내 게시판 참조 바랍니다.,2025-04-07
📊 1분기 실적 보고 마감 임박,1분기 실적 보고 마감일은 4월 5일입니다.,보고서 제출 누락 시 실적 미반영.,기한 내 제출 필수.,2025-04-05
📦 재고 정리 행사 안내,4월 4일부터 일부 모델 재고 정리 프로모션 진행.,소진 시 조기 종료 예정.,관련 자료는 마케팅 부서 공유 참조.,2025-04-04
🎓 신입사원 교육 일정 공지,4월 3일부터 2일간 본사 대강당에서 실시.,교육 대상자는 사전 메일 확인 요망.,지각 시 출결 불인정.,2025-04-03
✅ 계약서 양식 변경 안내,2025년형 신규 계약서 양식이 4월 2일부터 적용됩니다.,기존 양식 사용 시 반려 가능.,신규 양식은 인트라넷 자료실 확인.,2025-04-02
📍 전시장 환경 개선 공사,3월 31일부터 남부전시장 내 환경 개선 공사 진행.,고객 응대 시 소음 안내 필수.,공사는 4월 3일까지 예정.,2025-03-31
💡 제안제도 개선사항 적용,내부 제안제도 일부 항목이 3월 29일부로 개정됨.,우수 제안 보상 기준 확대.,세부 내용은 내부메일 참조.,2025-03-29
📎 주간 보고서 제출 요령 변경,3월 27일부터 보고서 작성 방식 일부 변경됨.,‘고객 주요 피드백’ 항목 추가.,변경사항은 템플릿 참조.,2025-03-27