공장명(국가),차종,연료 유형,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,생산 상태
러시아공장,크레타,가솔린,내수,0,0,0,0,0,0,70,4086,4912,4605,4645,3882,3686,3983,4738,4531,4735,4742,2400,5700,6447,7137,6512,6494,4668,4866,5385,5682,6102,5239,3447,6885,6418,6978,5930,6478,6572,6036,6575,6447,5314,5566,4665,7353,6610,6773,6240,6401,5533,5920,6347,1136,5545,6127,5110,6946,6666,7484,6096,8318,3718,6810,6664,5523,5590,6560,2742,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
베트남공장,i10,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,543,556,907,904,522,1238,858,738,1067,217,624,729,675,695,869,650,277,988,1018,660,715,666,779,962,543,540,420,526,613,419,1215,1529,1410,45,1032,1252,1534,1099,1999,1081,1615,1685,300,242,268,330,298,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
베트남공장,액센트,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,794,963,1356,1442,1124,1932,1681,1514,1809,1045,1619,1287,1503,1321,1770,1762,1776,2071,1948,1982,1591,1950,1953,115,1496,1330,1272,1545,1800,2162,2186,2632,1573,1560,1974,2614,1981,1708,1650,1616,1438,1627,948,1521,1492,1403,1824,1242,1835,1705,1685,2220,2114,2360,2024,2319,891,1571,1670,933,1525,785,981,1338,1335,1746,1737,1062,896,775,1178,357,4,0,0,0,0,0,0,0,0,0,생산 종료
베트남공장,엘란트라,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,415,518,4,264,96,4,260,64,512,715,150,669,262,732,632,658,610,238,726,873,597,363,632,91,721,717,418,422,305,510,123,389,240,370,408,12,267,527,516,496,441,532,60,333,0,0,0,0,0,0,0,0,0,0,0,0,1,179,285,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
베트남공장,코나,전기,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,521,470,589,555,364,480,687,738,778,1045,360,370,509,693,481,596,598,487,484,360,785,619,629,300,512,646,85,504,576,896,791,553,898,724,600,659,303,571,745,781,299,91,146,547,209,476,395,386,330,63,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
베트남공장,베뉴,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,4,316,508,698,189,62,40,360,350,290,287,299,374,생산중
베트남공장,크레타,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,567,1148,654,464,230,724,803,454,388,316,821,570,660,563,684,694,663,958,988,444,812,788,생산중
베트남공장,투싼,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,386,487,347,32,474,171,664,274,733,684,581,146,16,5,2,0,360,497,1059,486,699,515,954,759,860,844,892,805,645,610,746,20,666,913,1107,823,873,1121,1101,992,958,600,780,872,478,841,565,630,845,690,648,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
베트남공장,싼타페,하이브리드,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,11,7,12,10,30,0,5,30,0,0,0,0,90,24,1,0,0,0,생산중
베트남공장,아이오닉5,전기,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,30,0,1,1,30,0,0,0,0,29,0,0,1,0,0,0,0,0,생산중
베트남공장,싼타페,디젤,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,생산중
브라질공장,크레타,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,3663,3093,3515,3500,3863,2963,4118,3768,3981,4265,4238,3867,2866,3006,3497,3885,3892,3810,5050,5044,4895,5138,4483,4364,3260,3183,4382,4216,4648,5369,6817,6906,4028,3685,5196,5768,2777,4818,2752,849,1609,2944,3232,4826,5399,4583,5938,5954,3429,6216,5915,5834,7099,6027,4547,3347,2001,3518,2645,1464,172,1501,10,2118,2650,2842,1198,1122,802,593,1596,1799,1019,973,1387,904,246,493,1042,999,894,430,3124,1104,534,877,362,1005,890,1341,1343,1192,568,341,13,16,0,0,생산중
브라질공장,크레타,가솔린,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,42,96,112,112,136,88,104,104,120,80,88,96,88,72,65,40,80,140,242,413,97,0,252,331,157,139,169,116,332,85,67,317,0,0,0,92,8,241,264,58,64,40,262,344,296,456,334,238,373,236,291,340,58,27,4,288,128,72,0,72,6,0,0,33,66,33,0,33,66,12,54,33,0,48,2,6,0,0,0,48,89,56,64,64,56,56,40,48,0,0,0,생산중
싱가포르공장,아이오닉5,전기,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,58,65,73,49,62,114,0,0,0,0,0,0,0,0,0,0,0,0,4,32,생산중
싱가포르공장,아이오닉6,전기,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,5,7,12,9,4,생산중
싱가포르공장,아이오닉5,전기,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,9,3,20,49,82,74,46,38,52,40,18,21,10,9,0,0,생산중
싱가포르공장,아이오닉5로보택시,전기,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,3,0,13,6,0,0,1,0,0,0,생산중
아산공장,베이온,가솔린,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1712,1985,생산중
아산공장,i20,N,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,256,생산중
앨라배마공장,엘란트라,가솔린,내수,15010,16561,12359,11022,22994,16464,7981,13520,11944,10805,11005,9307,10250,10359,13659,12023,12057,11990,5585,13036,9129,9571,8312,7815,10713,9197,11991,14272,14605,12262,7240,10819,8959,14588,14341,12714,9665,9474,10967,8624,10517,3992,6608,14249,14554,18076,7495,7645,5513,7530,5485,420,2454,3539,4428,6519,14190,3431,385,256,199,48,16,5,2,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
앨라배마공장,투싼,디젤,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8359,7779,7679,6900,6442,6291,5427,10231,9057,11169,8496,11536,11787,12031,11853,9592,10138,11968,14378,11982,11338,9095,10069,12699,15337,11864,13972,12618,9827,15138,13343,13335,11206,11472,15840,11553,12313,11016,6689,12834,7944,14515,11447,14717,12167,10065,8303,12682,생산중
앨라배마공장,싼타페TM,하이브리드,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1208,1496,1417,1631,1722,1628,1607,1949,1320,1825,1984,1958,1495,2285,741,19,4,0,0,0,0,0,0,0,0,0,0,0,생산 종료
앨라배마공장,싼타페MX5,하이브리드,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,4044,4278,4160,3323,3979,4067,5244,3859,3487,2325,4849,생산중
앨라배마공장,GV70,전기,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,184,295,180,87,154,465,158,539,338,213,204,180,192,184,190,370,354,331,168,169,177,129,227,212,생산중
앨라배마공장,엘란트라,가솔린,수출,785,639,1544,1852,1810,1361,1600,1402,1863,1766,1104,465,656,803,501,614,766,603,448,510,529,927,698,438,724,689,728,694,519,103,450,45,255,300,285,270,510,300,345,360,285,334,375,14,0,0,0,0,186,300,0,0,0,0,0,105,60,45,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
앨라배마공장,투싼,디젤,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1367,1166,1068,1089,967,1390,1500,1634,생산중
앨라배마공장,싼타페TM,디젤,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,1234,1430,2300,1957,1663,1326,1790,1693,2003,2028,1972,1483,1578,1734,1052,1074,1048,1089,870,931,467,8,869,391,1206,2234,1404,277,250,2968,1472,1392,1492,1550,875,736,1680,852,526,808,804,423,1188,989,1028,670,833,826,923,729,780,727,943,693,832,832,1220,781,861,1040,785,1094,908,808,821,573,198,30,9,0,0,0,0,0,0,0,0,0,0,0,생산 종료
앨라배마공장,싼타페MX5,하이브리드,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,생산 종료
앨라배마공장,GV70,전기,수출,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,5,1,3,3,3,3,0,0,1,3,1,1,0,0,1,0,4,0,2,0,생산중
앨라배마공장,아이오닉5,전기,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006,1623,4073,생산중
울산공장,i10,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,152,생산중
울산공장,i20,가솔린,내수,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1690,1811,생산중
인도공장,그랜드i10,가솔린,내수,9934,8898,9544,9840,12055,12678,11961,12957,12212,14530,11059,10519,13010,12862,12545,12001,12984,12317,12002,12306,14099,14417,13249,0,12109,10198,12476,12174,10939,10343,10775,11489,11224,11820,9252,11450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,생산 종료
