차종,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Pride,내수,286.0,316.0,380.0,411.0,341.0,442.0,308.0,390.0,224.0,356.0,343.0,361.0,179.0,265.0,289.0,191.0,408.0,390.0,304.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K7,내수,1373.0,6046.0,6256.0,5504.0,4669.0,5042.0,5086.0,3585.0,4353.0,3911.0,4072.0,6163.0,3743.0,4388.0,5445.0,4356.0,3849.0,4294.0,3566.0,2917.0,3410.0,3210.0,3734.0,3666.0,3348.0,3015.0,3309.0,3002.0,2890.0,3135.0,3281.0,3305.0,2996.0,3784.0,4741.0,4172.0,3000.0,2226.0,2652.0,2632.0,2142.0,4284.0,8173.0,6961.0,6176.0,6518.0,6000.0,5075.0,3939.0,2851.0,5045.0,4772.0,4464.0,5652.0,2715.0,2172.0,2344.0,1844.0,3253.0,1997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stinger,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,1322.0,1040.0,711.0,765.0,741.0,718.0,455.0,484.0,448.0,468.0,463.0,669.0,593.0,621.0,437.0,332.0,438.0,366.0,381.0,324.0,292.0,438.0,339.0,475.0,311.0,267.0,262.0,264.0,267.0,200.0,205.0,157.0,194.0,387.0,189.0,164.0,305.0,279.0,195.0,466.0,480.0,366.0,343.0,279.0,378.0,312.0,364.0,252.0,269.0,277.0,203.0,127.0,240.0,241.0,225.0,166.0,164.0,218.0,235.0,206.0,184.0,112.0,157.0,57.0,184.0,193.0,108.0,113.0,120.0,143.0,61.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stonic,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1342.0,1655.0,1932.0,1089.0,1302.0,1813.0,1987.0,1616.0,1625.0,1487.0,1004.0,1488.0,1266.0,1215.0,1039.0,1042.0,1377.0,1159.0,1025.0,823.0,899.0,1014.0,870.0,924.0,559.0,476.0,406.0,381.0,433.0,466.0,299.0,289.0,486.0,357.0,394.0,502.0,313.0,355.0,258.0,217.0,341.0,360.0,216.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,내수,0.0,0.0,4.0,2440.0,2676.0,3246.0,2242.0,1135.0,2054.0,1668.0,1616.0,1629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Soul,내수,109.0,126.0,217.0,242.0,169.0,256.0,174.0,148.0,245.0,293.0,230.0,150.0,109.0,213.0,217.0,164.0,241.0,292.0,199.0,156.0,333.0,213.0,746.0,126.0,96.0,134.0,297.0,305.0,236.0,445.0,357.0,328.0,117.0,38.0,29.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Carens,내수,191.0,218.0,270.0,186.0,207.0,314.0,220.0,340.0,266.0,366.0,307.0,360.0,159.0,206.0,230.0,279.0,321.0,250.0,220.0,212.0,240.0,194.0,236.0,258.0,185.0,143.0,187.0,211.0,199.0,230.0,228.0,193.0,135.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soul,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,319.0,608.0,1166.0,943.0,688.0,503.0,367.0,175.0,176.0,198.0,178.0,243.0,79.0,51.0,113.0,120.0,183.0,166.0,83.0,69.0,74.0,75.0,109.0,142.0,90.0,71.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bongo,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3580.0,8977.0,6806.0,5258.0,5269.0,4435.0,5665.0,3892.0,4480.0,4887.0,5855.0,3815.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pride,수출,15519.0,16706.0,22706.0,16854.0,13540.0,17953.0,17031.0,9224.0,9467.0,11448.0,18092.0,23671.0,11770.0,11438.0,12619.0,12521.0,12144.0,11177.0,8738.0,4743.0,3463.0,2262.0,3697.0,3845.0,4231.0,4282.0,5334.0,5216.0,5754.0,5633.0,4744.0,3667.0,4911.0,4945.0,5562.0,5133.0,4817.0,3249.0,4061.0,4537.0,4808.0,4037.0,5015.0,4368.0,4739.0,4643.0,5202.0,5143.0,5007.0,2784.0,6101.0,2305.0,1680.0,3341.0,4286.0,4088.0,3798.0,4001.0,4521.0,3677.0,4520.0,3702.0,5536.0,5826.0,4364.0,4197.0,3661.0,3022.0,3638.0,3065.0,4006.0,3620.0,4038.0,4121.0,4702.0,4117.0,4066.0,3609.0,6190.0,3533.0,3815.0,3969.0,5029.0,5873.0,5243.0,5451.0,6127.0,5022.0,4514.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K7,수출,267.0,2.0,299.0,343.0,357.0,485.0,420.0,195.0,1110.0,818.0,1233.0,1702.0,1495.0,1929.0,1784.0,1971.0,1129.0,1330.0,2032.0,1462.0,1574.0,1135.0,1261.0,835.0,275.0,363.0,630.0,523.0,154.0,267.0,138.0,496.0,289.0,552.0,525.0,165.0,49.0,106.0,828.0,756.0,612.0,1189.0,13.0,0.0,5.0,104.0,250.0,204.0,248.0,218.0,135.0,121.0,130.0,18.0,243.0,160.0,185.0,331.0,220.0,126.0,75.0,202.0,0.0,1.0,54.0,142.0,199.0,59.0,104.0,124.0,61.0,172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CK,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stinger,수출,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,15.0,0.0,23.0,2.0,862.0,863.0,1021.0,3297.0,5472.0,4151.0,3455.0,2595.0,3490.0,3028.0,2289.0,1331.0,2264.0,2266.0,2129.0,1941.0,2016.0,2375.0,2641.0,1184.0,1903.0,1682.0,1801.0,1399.0,1082.0,1955.0,1835.0,1442.0,1725.0,1220.0,862.0,475.0,1722.0,515.0,118.0,775.0,1335.0,1797.0,1368.0,1453.0,1447.0,985.0,1212.0,1502.0,1543.0,2093.0,1287.0,1368.0,1454.0,1343.0,1044.0,801.0,1603.0,1757.0,1340.0,1325.0,1138.0,1455.0,731.0,825.0,596.0,741.0,426.0,948.0,1662.0,2063.0,1618.0,1192.0,1219.0,933.0,56.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
K9,수출,115.0,45.0,9.0,5.0,3.0,45.0,3.0,1.0,46.0,31.0,86.0,192.0,70.0,31.0,129.0,49.0,106.0,56.0,50.0,24.0,28.0,0.0,29.0,7.0,27.0,10.0,2.0,0.0,1.0,11.0,13.0,45.0,3.0,442.0,178.0,216.0,95.0,3.0,56.0,61.0,3.0,13.0,5.0,102.0,79.0,14.0,42.0,45.0,5.0,8.0,44.0,28.0,33.0,0.0,10.0,15.0,0.0,0.0,1.0,1.0,3.0,1.0,72.0,48.0,3.0,0.0,25.0,0.0,2.0,0.0,0.0,73.0,27.0,23.0,0.0,0.0,48.0,1.0,0.0,0.0,52.0,0.0,0.0,0.0,36.0,0.0,24.0,1.0,0.0,36.0,36.0,35.0,2.0,0.0,1.0,1.0,0.0,0.0,8.0,0.0,6.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Soul,수출,13877.0,12831.0,16952.0,14122.0,14295.0,15476.0,14784.0,8985.0,10911.0,10448.0,16637.0,20414.0,10278.0,14103.0,16061.0,13124.0,13000.0,12510.0,15484.0,13177.0,16131.0,9862.0,15063.0,12605.0,11714.0,6418.0,11065.0,9778.0,14452.0,12738.0,14215.0,11489.0,11630.0,16852.0,16723.0,14761.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Carens,수출,1976.0,1876.0,2696.0,2572.0,2533.0,2276.0,2786.0,1125.0,976.0,1172.0,1616.0,1304.0,2040.0,2402.0,2190.0,2106.0,1983.0,2052.0,1768.0,1576.0,1265.0,1051.0,1513.0,1583.0,2489.0,2332.0,2749.0,3408.0,2288.0,2327.0,785.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bus,수출,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,수출,5.0,2.0,0.0,13.0,2289.0,2530.0,2240.0,825.0,1930.0,2495.0,5487.0,8133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
