시도,지역구분,보조금/승용(만원),보조금/승합(만원)
서울,서울특별시,"2,950","35,000"
부산,부산광역시,"3,350","35,000"
대구,대구광역시,"3,250","35,000"
인천,인천광역시,"3,250","35,000"
광주,광주광역시,"3,250","26,000"
대전,대전광역시,"3,250","31,800"
울산,울산광역시,"3,400","35,000"
세종,세종특별자치시,"3,247","26,000"
경기,수원시,"3,250","26,000"
경기,성남시,"3,500","35,000"
경기,의정부시,"3,250","26,000"
경기,안양시,"3,250","26,000"
경기,부천시,"3,250","26,000"
경기,광명시,"3,250","26,000"
경기,평택시,"3,500","35,000"
경기,동두천시,,
경기,안산시,"3,250","35,000"
경기,고양시,"3,250","35,000"
경기,과천시,"3,250","26,000"
경기,구리시,"3,250","26,000"
경기,남양주시,"3,250","26,000"
경기,오산시,"3,250","26,000"
경기,시흥시,"3,250","26,000"
경기,군포시,"3,250","26,000"
경기,의왕시,"3,250","26,000"
경기,하남시,,
경기,용인시,"3,250","35,000"
경기,파주시,"3,250","35,000"
경기,이천시,"3,250","35,000"
경기,안성시,"3,500","35,000"
경기,김포시,"3,250","35,000"
경기,화성시,"3,500","26,000"
경기,광주시,"3,250","26,000"
경기,양주시,"3,250","35,000"
경기,포천시,"3,250","26,000"
경기,여주시,"3,250","26,000"
경기,양평군,"3,250","26,000"
강원,춘천시,"3,450","41,000"
강원,원주시,"3,450","41,000"
강원,강릉시,"3,450","26,000"
강원,동해시,"3,450","26,000"
강원,속초시,"3,450","26,000"
강원,삼척시,"3,450","41,000"
강원,홍천군,"3,450","26,000"
강원,횡성군,"3,450","26,000"
강원,평창군,"3,450","26,000"
강원,철원군,"3,450","26,000"
강원,화천군,"3,450","26,000"
강원,양구군,"3,450","26,000"
강원,고성군,,
강원,양양군,"3,450","26,000"
충북,청주시,"3,350","43,800"
충북,충주시,"3,350","35,000"
충북,제천시,"3,350","26,000"
충북,보은군,"3,350","35,000"
충북,증평군,,
충북,영동군,"3,350","26,000"
충북,진천군,"3,350","26,000"
충북,괴산군,"3,350","26,000"
충북,음성군,"3,350","35,000"
충북,단양군,"3,504","26,000"
충남,공주시,"3,250","35,000"
충남,보령시,"3,750","26,000"
충남,아산시,"3,250","35,000"
충남,서산시,"3,250","26,000"
충남,논산시,"3,250","26,000"
충남,계룡시,"3,250","26,000"
충남,당진시,"3,550","35,000"
충남,금산군,"3,250","26,000"
충남,부여군,"3,250","26,000"
충남,서천군,"3,250","26,000"
충남,청양군,"3,250","26,000"
충남,홍성군,"3,250","26,000"
충남,예산군,"3,250","26,000"
충남,태안군,"3,250","26,000"
전북,전주시,"3,450","38,000"
전북,군산시,"3,450","38,000"
전북,익산시,"3,450","39,000"
전북,김제시,"3,450","39,000"
전북,완주군,"3,450","38,000"
전북,무주군,,
전북,고창군,"3,450","26,000"
전북,부안군,"3,450","39,000"
전남,목포시,"3,500","26,000"
전남,여수시,"3,750","37,000"
전남,순천시,"3,450","37,000"
전남,나주시,"3,550","26,000"
전남,광양시,"3,450","37,000"
전남,담양군,"3,450","26,000"
전남,영암군,"3,500","26,000"
전남,함평군,"3,500","26,000"
전남,영광군,,
전남,장성군,"3,500","26,000"
전남,신안군,"3,500","26,000"
경북,포항시,"3,250","35,000"
경북,경주시,"3,250","35,000"
경북,김천시,"3,250","35,000"
경북,안동시,"3,250","26,000"
경북,구미시,"3,250","35,000"
경북,상주시,"3,250","26,000"
경북,경산시,"3,250","30,000"
경북,고령군,"3,250","26,000"
경북,성주군,"3,250","26,000"
경북,칠곡군,"3,250","30,000"
경북,울진군,"3,250","26,000"
경남,창원시,"3,310","26,000"
경남,진주시,"3,310","26,000"
경남,통영시,"3,310","30,000"
경남,사천시,"3,310","26,000"
경남,김해시,"3,310","30,000"
경남,밀양시,"3,310","35,000"
경남,거제시,"3,310","26,000"
경남,양산시,"3,310","26,000"
경남,남해군,"3,500","34,300"
제주,제주특별자치도,"2,250","35,000"